estimand_type	estimand	design_id	design	functional	local_state	method	quantity	point_estimate	ci_low	ci_high	estimate_ci	boot_se	n_boot_nonmissing	ci_type
Delta	Delta: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	Tensor	Delta_h	-0.219738	-0.495415	0.055939	-0.2197 [-0.4954, 0.0559]	0.140652	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	Matrix	Delta_h_matrix	-0.058147	-1.23043	1.114136	-0.0581 [-1.2304, 1.1141]	0.598104	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	Tensor	Delta_h	-0.013351	-0.779927	0.753225	-0.0134 [-0.7799, 0.7532]	0.39111	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	Matrix	Delta_h_matrix	-0.145387	-1.939157	1.648383	-0.1454 [-1.9392, 1.6484]	0.915189	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	Tensor	Delta_h	-1.080808	-1.896681	-0.264935	-1.0808 [-1.8967, -0.2649]	0.416262	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	Matrix	Delta_h_matrix	-0.236001	-2.298621	1.826619	-0.2360 [-2.2986, 1.8266]	1.052357	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	Tensor	Delta_h	0.041192	-0.751627	0.834011	0.0412 [-0.7516, 0.8340]	0.404499	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	Matrix	Delta_h_matrix	-0.025513	-2.005797	1.954771	-0.0255 [-2.0058, 1.9548]	1.010349	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	Tensor	Delta_h	-0.126686	-0.257464	0.004092	-0.1267 [-0.2575, 0.0041]	0.066724	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	Matrix	Delta_h_matrix	0.007158	-0.376297	0.390613	0.0072 [-0.3763, 0.3906]	0.19564	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	Tensor	Delta_h	-0.003847	-0.027801	0.020107	-0.0038 [-0.0278, 0.0201]	0.012222	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	Matrix	Delta_h_matrix	0.004652	-0.010018	0.019322	0.0047 [-0.0100, 0.0193]	0.007485	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	Tensor	Delta_h	-0.139477	-0.236918	-0.042036	-0.1395 [-0.2369, -0.0420]	0.049715	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	Matrix	Delta_h_matrix	-0.034146	-0.348349	0.280057	-0.0341 [-0.3483, 0.2801]	0.160308	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	Tensor	Delta_h	-0.013555	-0.262803	0.235693	-0.0136 [-0.2628, 0.2357]	0.127167	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	Matrix	Delta_h_matrix	-0.105228	-0.764455	0.553999	-0.1052 [-0.7645, 0.5540]	0.33634	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	Tensor	Delta_h	-0.440932	-0.688145	-0.193719	-0.4409 [-0.6881, -0.1937]	0.126129	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	Matrix	Delta_h_matrix	-0.230587	-0.887126	0.425952	-0.2306 [-0.8871, 0.4260]	0.334969	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	Tensor	Delta_h	-0.074469	-0.323635	0.174697	-0.0745 [-0.3236, 0.1747]	0.127126	500	bootstrap_se_centered
