estimand_type	estimand	design_id	design	functional	local_state	Tensor_point_estimate	Matrix_point_estimate	Tensor_ci_low	Matrix_ci_low	Tensor_ci_high	Matrix_ci_high	Tensor_estimate_ci	Matrix_estimate_ci	Tensor_boot_se	Matrix_boot_se	Tensor_n_boot_nonmissing	Matrix_n_boot_nonmissing
Delta	Delta: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	-0.219738	-0.058147	-0.495415	-1.23043	0.055939	1.114136	-0.2197 [-0.4954, 0.0559]	-0.0581 [-1.2304, 1.1141]	0.140652	0.598104	500	500
Delta	Delta: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	-0.013351	-0.145387	-0.779927	-1.939157	0.753225	1.648383	-0.0134 [-0.7799, 0.7532]	-0.1454 [-1.9392, 1.6484]	0.39111	0.915189	500	500
Delta	Delta: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	-1.080808	-0.236001	-1.896681	-2.298621	-0.264935	1.826619	-1.0808 [-1.8967, -0.2649]	-0.2360 [-2.2986, 1.8266]	0.416262	1.052357	500	500
Delta	Delta: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	0.041192	-0.025513	-0.751627	-2.005797	0.834011	1.954771	0.0412 [-0.7516, 0.8340]	-0.0255 [-2.0058, 1.9548]	0.404499	1.010349	500	500
Delta	Delta: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	-0.126686	0.007158	-0.257464	-0.376297	0.004092	0.390613	-0.1267 [-0.2575, 0.0041]	0.0072 [-0.3763, 0.3906]	0.066724	0.19564	500	500
Delta	Delta: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	-0.003847	0.004652	-0.027801	-0.010018	0.020107	0.019322	-0.0038 [-0.0278, 0.0201]	0.0047 [-0.0100, 0.0193]	0.012222	0.007485	500	500
Delta	Delta: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	-0.139477	-0.034146	-0.236918	-0.348349	-0.042036	0.280057	-0.1395 [-0.2369, -0.0420]	-0.0341 [-0.3483, 0.2801]	0.049715	0.160308	500	500
Delta	Delta: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	-0.013555	-0.105228	-0.262803	-0.764455	0.235693	0.553999	-0.0136 [-0.2628, 0.2357]	-0.1052 [-0.7645, 0.5540]	0.127167	0.33634	500	500
Delta	Delta: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	-0.440932	-0.230587	-0.688145	-0.887126	-0.193719	0.425952	-0.4409 [-0.6881, -0.1937]	-0.2306 [-0.8871, 0.4260]	0.126129	0.334969	500	500
Delta	Delta: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	-0.074469	-0.023765	-0.323635	-0.707689	0.174697	0.660159	-0.0745 [-0.3236, 0.1747]	-0.0238 [-0.7077, 0.6602]	0.127126	0.348941	500	500
Delta	Delta: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	-0.094553	0.006304	-0.148241	-0.140914	-0.040865	0.153522	-0.0946 [-0.1482, -0.0409]	0.0063 [-0.1409, 0.1535]	0.027392	0.075111	500	500
