"scenario","N","T","r","K","SNR_target","sigma2","N1k","T1k","c_ell","c_u","rep","method","mu_true","mu_hat","sq_err"
"window",100,80,6,50,1,0.0036,70,60,0.669024161171849,1.21279086746283,1,"real_pool",0.00722445192307018,0.013534394420354,3.98153743190278e-05
"window",100,80,6,50,1,0.0036,70,60,0.669024161171849,1.21279086746283,1,"oracle_local",0.00722445192307018,0.010321775005561,9.59341027733023e-06
"window",100,80,6,50,1,0.0036,70,60,0.695517045216317,1.2188966975474,2,"real_pool",-0.0239859714892216,-0.0241368588228156,2.27669874391087e-08
"window",100,80,6,50,1,0.0036,70,60,0.695517045216317,1.2188966975474,2,"oracle_local",-0.0239859714892216,-0.0196796360365569,1.8544525030877e-05
"window",100,80,6,50,1,0.0036,70,60,0.693346639737379,1.25117488919921,3,"real_pool",0.00244927423490244,0.00449386812921408,4.18036419265645e-06
"window",100,80,6,50,1,0.0036,70,60,0.693346639737379,1.25117488919921,3,"oracle_local",0.00244927423490244,0.00322587348295888,6.03106392081829e-07
"window",100,80,6,50,1,0.0036,70,60,0.811342632512082,1.22621607535997,4,"real_pool",-0.020295971835177,-0.0257063210905692,2.92718790653228e-05
"window",100,80,6,50,1,0.0036,70,60,0.811342632512082,1.22621607535997,4,"oracle_local",-0.020295971835177,-0.0202926316115208,1.11570940733136e-11
"window",100,80,6,50,1,0.0036,70,60,0.699502414191655,1.31782752294844,5,"real_pool",-0.0169798560524663,-0.0308326483334935,0.000191899853981287
"window",100,80,6,50,1,0.0036,70,60,0.699502414191655,1.31782752294844,5,"oracle_local",-0.0169798560524663,-0.0265607602692715,9.17937256115967e-05
"window",100,80,6,50,1,0.0036,70,60,0.518236478773944,1.22667018738596,6,"real_pool",0.0824383601534523,0.0781502797038285,1.83876339424462e-05
"window",100,80,6,50,1,0.0036,70,60,0.518236478773944,1.22667018738596,6,"oracle_local",0.0824383601534523,0.0797037344107293,7.47817795276346e-06
"window",100,80,6,50,1,0.0036,70,60,0.731635980199323,1.26016935764202,7,"real_pool",-0.0423432088729303,-0.0339259717354581,7.08498810284415e-05
"window",100,80,6,50,1,0.0036,70,60,0.731635980199323,1.26016935764202,7,"oracle_local",-0.0423432088729303,-0.0379714947751724,1.91118841525353e-05
"window",100,80,6,50,1,0.0036,70,60,0.817488413327945,1.24108961560849,8,"real_pool",-0.0364079025190285,-0.0508409953875436,0.000208314169751181
"window",100,80,6,50,1,0.0036,70,60,0.817488413327945,1.24108961560849,8,"oracle_local",-0.0364079025190285,-0.0471139279897765,0.000114618981380305
"window",100,80,6,50,1,0.0036,70,60,0.716455982130914,1.27802229709147,9,"real_pool",-0.0249976247431416,-0.0340472848881108,8.18963487394455e-05
"window",100,80,6,50,1,0.0036,70,60,0.716455982130914,1.27802229709147,9,"oracle_local",-0.0249976247431416,-0.0258769203471926,7.73160759303466e-07
"window",100,80,6,50,1,0.0036,70,60,0.691394104147592,1.26906447033594,10,"real_pool",0.0362954115965782,0.0346059100245467,2.8544155618971e-06
"window",100,80,6,50,1,0.0036,70,60,0.691394104147592,1.26906447033594,10,"oracle_local",0.0362954115965782,0.0361829235920521,1.26535511622801e-08
"window",100,80,6,50,1,0.0036,70,60,0.670081345760285,1.21205243775171,11,"real_pool",0.0336736635804933,0.0312496994594925,5.87560205989937e-06
"window",100,80,6,50,1,0.0036,70,60,0.670081345760285,1.21205243775171,11,"oracle_local",0.0336736635804933,0.0294483042838094,1.78536611860735e-05
"window",100,80,6,50,1,0.0036,70,60,0.70237851736434,1.25546816952765,12,"real_pool",-0.0175245745298807,-0.0165748769428135,9.01925506881182e-07
"window",100,80,6,50,1,0.0036,70,60,0.70237851736434,1.25546816952765,12,"oracle_local",-0.0175245745298807,-0.0152153154579282,5.33267746139465e-06
"window",100,80,6,50,1,0.0036,70,60,0.575119666505127,1.23211357957028,13,"real_pool",-0.03238579973143,-0.0337260346694116,1.79622968898654e-06
"window",100,80,6,50,1,0.0036,70,60,0.575119666505127,1.23211357957028,13,"oracle_local",-0.03238579973143,-0.0334671000109147,1.16921029441372e-06
"window",100,80,6,50,1,0.0036,70,60,0.763998349706078,1.28231144711041,14,"real_pool",0.0795670977723864,0.0809903623659806,2.02568210337889e-06
"window",100,80,6,50,1,0.0036,70,60,0.763998349706078,1.28231144711041,14,"oracle_local",0.0795670977723864,0.0778815037941742,2.84122705938534e-06
"window",100,80,6,50,1,0.0036,70,60,0.706158449930947,1.23336559495448,15,"real_pool",-0.0148067111534274,0.00678531955863206,0.000466215790270519
"window",100,80,6,50,1,0.0036,70,60,0.706158449930947,1.23336559495448,15,"oracle_local",-0.0148067111534274,-0.0122138592912643,6.72288077912262e-06
"window",100,80,6,50,1,0.0036,70,60,0.699418833559383,1.25092021740625,16,"real_pool",-0.00920046173725969,-0.0018726387303037,5.36969900212736e-05
"window",100,80,6,50,1,0.0036,70,60,0.699418833559383,1.25092021740625,16,"oracle_local",-0.00920046173725969,-0.00617675036658461,9.14283045314978e-06
"window",100,80,6,50,1,0.0036,70,60,0.669204711640767,1.27179805794547,17,"real_pool",-0.011037425124093,-0.00856723553643588,6.1018365989698e-06
