"scenario","N","T","r","K","x_val","SNR_target","sigma2","N1k","T1k","c_ell","c_u","rep","method","mu_true","mu_hat","sq_err"
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.53656159471705,1.31369214562933,1,"real_pool",0.00808110868014768,0.012112060813245,1.62485750993222e-05
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.53656159471705,1.31369214562933,1,"oracle_local",0.00808110868014768,0.00685894133872031,1.49369301045166e-06
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.663607135125967,1.4578387520841,2,"real_pool",0.00126910787918975,0.000509181263142737,5.7748846177667e-07
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.663607135125967,1.4578387520841,2,"oracle_local",0.00126910787918975,0.000752848652276175,2.66523589373407e-07
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.682416855137004,1.29543288378233,3,"real_pool",-0.0102319834555965,-0.00498226020608451,2.7559594196467e-05
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.682416855137004,1.29543288378233,3,"oracle_local",-0.0102319834555965,-0.0104840184431143,6.35216349330819e-08
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.577048899087856,1.42672448199317,4,"real_pool",0.0114814610251746,0.0110415098186062,1.93557064160978e-07
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.577048899087856,1.42672448199317,4,"oracle_local",0.0114814610251746,0.0109870184582887,2.44473451948708e-07
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.677326752394753,1.32363084813812,5,"real_pool",-0.00386888874637639,-0.0035149727379178,1.25256541043257e-07
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.677326752394753,1.32363084813812,5,"oracle_local",-0.00386888874637639,-0.00259022027595508,1.63499305724957e-06
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.584137887585335,1.23472813697807,6,"real_pool",0.0208867548224125,0.0228795224245489,3.97112271612465e-06
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.584137887585335,1.23472813697807,6,"oracle_local",0.0208867548224125,0.0206794462115971,4.29768601182073e-08
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.559425317780996,1.26640393840172,7,"real_pool",0.00186749129309918,-0.00106892087804448,8.6225164388406e-06
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.559425317780996,1.26640393840172,7,"oracle_local",0.00186749129309918,0.000969887696874644,8.0569221595522e-07
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.674816180439473,1.43438730330235,8,"real_pool",-0.00829545627434028,-0.00949854709031256,1.44742751147683e-06
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.674816180439473,1.43438730330235,8,"oracle_local",-0.00829545627434028,-0.00867209571546051,1.41857268607361e-07
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.679210294592818,1.35706208259923,9,"real_pool",-0.0157372126481732,-0.0172225990449903,2.20637274784929e-06
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.679210294592818,1.35706208259923,9,"oracle_local",-0.0157372126481732,-0.0157015551494532,1.27145721496908e-09
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.647907916054834,1.35817803488327,10,"real_pool",0.00196141893847414,-0.0018377745488423,1.44338711540677e-05
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.647907916054834,1.35817803488327,10,"oracle_local",0.00196141893847414,-0.0011849504751318,9.89964048687502e-06
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.684916918742738,1.37412535814832,11,"real_pool",-0.00959430178308532,-0.00998904687622319,1.5582368855643e-07
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.684916918742738,1.37412535814832,11,"oracle_local",-0.00959430178308532,-0.0090301208861549,3.18300084461213e-07
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.699377382911899,1.50352327000417,12,"real_pool",-0.0365563468965503,-0.0364527479464293,1.0732742466156e-08
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.699377382911899,1.50352327000417,12,"oracle_local",-0.0365563468965503,-0.0372508620590685,4.82351310967682e-07
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.713275349404114,1.38653780279834,13,"real_pool",0.00895435019924234,0.0121140473436092,9.98368604412006e-06
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.713275349404114,1.38653780279834,13,"oracle_local",0.00895435019924234,0.00944864593123869,2.44328270669805e-07
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.633730886547656,1.33290932263779,14,"real_pool",-0.00164796828994296,-0.00143202360858742,4.66321054057449e-08
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.633730886547656,1.33290932263779,14,"oracle_local",-0.00164796828994296,-0.00422856507894385,6.65947978740169e-06
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.619212681824891,1.54661129833681,15,"real_pool",0.00411549596161225,0.003402451380372,5.08432574836088e-07
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.619212681824891,1.54661129833681,15,"oracle_local",0.00411549596161225,0.00386760545249758,6.14497045091285e-08
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.658410840702499,1.40982227092629,16,"real_pool",-0.00309992407717208,-0.00273806959949737,1.3093866301324e-07
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.658410840702499,1.40982227092629,16,"oracle_local",-0.00309992407717208,-0.00228162017708745,6.69621272893715e-07
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.601985064438499,1.38606956768573,17,"real_pool",-0.0194034526320587,-0.0125651803938666,4.67619672036289e-05
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.601985064438499,1.38606956768573,17,"oracle_local",-0.0194034526320587,-0.0151279606441413,1.82798317387456e-05
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.719418240580907,1.37654548834188,18,"real_pool",0.0039819536630898,0.00497815263163544,9.92412384931386e-07
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.719418240580907,1.37654548834188,18,"oracle_local",0.0039819536630898,0.00422470993148153,5.89306058434764e-08
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.597974349933795,1.32899114915594,19,"real_pool",-0.0072929407703035,-0.00517787664789813,4.4734962418864e-06
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.597974349933795,1.32899114915594,19,"oracle_local",-0.0072929407703035,-0.00637538344897027,8.41911437932213e-07
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.727560137262378,1.40269911258576,20,"real_pool",0.00400313489140438,0.00528125997361219,1.63360372576872e-06
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.727560137262378,1.40269911258576,20,"oracle_local",0.00400313489140438,0.0047490740624213,5.56425246857401e-07
"fixed_x_window",200,200,6,100,89,1,0.0018,89,89,0.70251486037501,1.40502387179892,1,"real_pool",0.0214729965091398,0.0191633478670294,5.33447685000227e-06
"fixed_x_window",200,200,6,100,89,1,0.0018,89,89,0.70251486037501,1.40502387179892,1,"oracle_local",0.0214729965091398,0.0200882445941923,1.91753786595086e-06
"fixed_x_window",200,200,6,100,89,1,0.0018,89,89,0.63330174477476,1.24563236073099,2,"real_pool",-0.00857759994107268,-0.00834094805364721,5.60041158220402e-08
"fixed_x_window",200,200,6,100,89,1,0.0018,89,89,0.63330174477476,1.24563236073099,2,"oracle_local",-0.00857759994107268,-0.00866213408641405,7.14602172859467e-09
"fixed_x_window",200,200,6,100,89,1,0.0018,89,89,0.705392750773384,1.26926477498626,3,"real_pool",0.00389529148159544,0.00219854010536829,2.87896523272875e-06
"fixed_x_window",200,200,6,100,89,1,0.0018,89,89,0.705392750773384,1.26926477498626,3,"oracle_local",0.00389529148159544,0.00173776801177354,4.65490752283234e-06
"fixed_x_window",200,200,6,100,89,1,0.0018,89,89,0.655367879008314,1.321909430907,4,"real_pool",0.0106157151699905,0.0099877419908832,3.94350313678169e-07
"fixed_x_window",200,200,6,100,89,1,0.0018,89,89,0.655367879008314,1.321909430907,4,"oracle_local",0.0106157151699905,0.00974902938637952,7.51144247513428e-07
"fixed_x_window",200,200,6,100,89,1,0.0018,89,89,0.725792683599078,1.27330095943822,5,"real_pool",-0.00786948113419698,-0.0107460480148522,8.27463701888235e-06
"fixed_x_window",200,200,6,100,89,1,0.0018,89,89,0.725792683599078,1.27330095943822,5,"oracle_local",-0.00786948113419698,-0.00807458184163036,4.20663001896718e-08
