"scenario","N","T","r","K","SNR_target","sigma2","N1k","T1k","c_ell","c_u","rep","method","mu_true","mu_hat","sq_err"
"window",100,80,6,50,1,0.0036,70,60,0.669024161171849,1.21279086746283,1,"real_pool",-0.0197961833070371,-0.0393232906319789,0.000381307920479796
"window",100,80,6,50,1,0.0036,70,60,0.669024161171849,1.21279086746283,1,"oracle_pool",-0.0197961833070371,-0.0202646828234659,2.19491796893977e-07
"window",100,80,6,50,1,0.0036,70,60,0.669024161171849,1.21279086746283,1,"oracle_local",-0.0197961833070371,-0.0419274567519777,0.00048979326429473
"window",100,80,6,50,1,0.0036,70,60,0.695517045216317,1.2188966975474,2,"real_pool",-0.16164179615877,-0.182979073448162,0.000455279402124434
"window",100,80,6,50,1,0.0036,70,60,0.695517045216317,1.2188966975474,2,"oracle_pool",-0.16164179615877,-0.1575546807511,1.67045123556122e-05
"window",100,80,6,50,1,0.0036,70,60,0.695517045216317,1.2188966975474,2,"oracle_local",-0.16164179615877,-0.194285492590858,0.00106561091675037
"window",100,80,6,50,1,0.0036,70,60,0.693346639737379,1.25117488919921,3,"real_pool",0.00398894523746003,-0.026419687171768,0.00092468492499955
"window",100,80,6,50,1,0.0036,70,60,0.693346639737379,1.25117488919921,3,"oracle_pool",0.00398894523746003,0.0111664726845951,5.15169002543772e-05
"window",100,80,6,50,1,0.0036,70,60,0.693346639737379,1.25117488919921,3,"oracle_local",0.00398894523746003,-0.0331344287446822,0.001378144895818
"window",100,80,6,50,1,0.0036,70,60,0.811342632512082,1.22621607535997,4,"real_pool",0.0783229991739476,0.143039979748469,0.00418828757468292
"window",100,80,6,50,1,0.0036,70,60,0.811342632512082,1.22621607535997,4,"oracle_pool",0.0783229991739476,0.0746263651152617,1.36651033638363e-05
"window",100,80,6,50,1,0.0036,70,60,0.811342632512082,1.22621607535997,4,"oracle_local",0.0783229991739476,0.13583277913975,0.00330737479171503
"window",100,80,6,50,1,0.0036,70,60,0.699502414191655,1.31782752294844,5,"real_pool",-0.237344388610477,-0.247458956281065,0.000102304479162902
"window",100,80,6,50,1,0.0036,70,60,0.699502414191655,1.31782752294844,5,"oracle_pool",-0.237344388610477,-0.255788441135212,0.000340183073535163
"window",100,80,6,50,1,0.0036,70,60,0.699502414191655,1.31782752294844,5,"oracle_local",-0.237344388610477,-0.239181824038018,3.37616895038135e-06
"window",100,80,6,50,1,0.0036,70,60,0.518236478773944,1.22667018738596,6,"real_pool",-0.119941863565972,-0.145859874265514,0.000671743278621566
"window",100,80,6,50,1,0.0036,70,60,0.518236478773944,1.22667018738596,6,"oracle_pool",-0.119941863565972,-0.115413518005272,2.05059135171094e-05
"window",100,80,6,50,1,0.0036,70,60,0.518236478773944,1.22667018738596,6,"oracle_local",-0.119941863565972,-0.159471699748615,0.00156260794862661
"window",100,80,6,50,1,0.0036,70,60,0.731635980199323,1.26016935764202,7,"real_pool",-0.0803626701424764,-0.0875369450537718,5.14702205028419e-05
"window",100,80,6,50,1,0.0036,70,60,0.731635980199323,1.26016935764202,7,"oracle_pool",-0.0803626701424764,-0.0892286050142887,7.8604801151217e-05
"window",100,80,6,50,1,0.0036,70,60,0.731635980199323,1.26016935764202,7,"oracle_local",-0.0803626701424764,-0.0802833477005642,6.29204979092221e-09
"window",100,80,6,50,1,0.0036,70,60,0.817488413327945,1.24108961560849,8,"real_pool",-0.049748645744536,-0.0704549780476054,0.00042875219744514
"window",100,80,6,50,1,0.0036,70,60,0.817488413327945,1.24108961560849,8,"oracle_pool",-0.049748645744536,-0.0504697972818274,5.20059539737873e-07
"window",100,80,6,50,1,0.0036,70,60,0.817488413327945,1.24108961560849,8,"oracle_local",-0.049748645744536,-0.07063771241547,0.000436353106382726
"window",100,80,6,50,1,0.0036,70,60,0.716455982130914,1.27802229709147,9,"real_pool",-0.308102656433238,-0.315184915705055,5.01583963932378e-05
"window",100,80,6,50,1,0.0036,70,60,0.716455982130914,1.27802229709147,9,"oracle_pool",-0.308102656433238,-0.303453870756207,2.16112082709683e-05
"window",100,80,6,50,1,0.0036,70,60,0.716455982130914,1.27802229709147,9,"oracle_local",-0.308102656433238,-0.331950225873556,0.000568706568210785
"window",100,80,6,50,1,0.0036,70,60,0.691394104147592,1.26906447033594,10,"real_pool",0.262822566345579,0.295930680375318,0.0010961472146062
"window",100,80,6,50,1,0.0036,70,60,0.691394104147592,1.26906447033594,10,"oracle_pool",0.262822566345579,0.246819891222208,0.000256085611104182
"window",100,80,6,50,1,0.0036,70,60,0.691394104147592,1.26906447033594,10,"oracle_local",0.262822566345579,0.330803933456405,0.00462146627425679
"window",100,80,6,50,1,0.0036,70,60,0.670081345760285,1.21205243775171,11,"real_pool",-0.438973794923394,-0.486148502117383,0.0022254529988386
"window",100,80,6,50,1,0.0036,70,60,0.670081345760285,1.21205243775171,11,"oracle_pool",-0.438973794923394,-0.429845142135595,8.33323017201825e-05
"window",100,80,6,50,1,0.0036,70,60,0.670081345760285,1.21205243775171,11,"oracle_local",-0.438973794923394,-0.504848772097998,0.00433951261775461
"window",100,80,6,50,1,0.0036,70,60,0.70237851736434,1.25546816952765,12,"real_pool",0.00254205818544834,-0.0126532154805453,0.000230896341784439
"window",100,80,6,50,1,0.0036,70,60,0.70237851736434,1.25546816952765,12,"oracle_pool",0.00254205818544834,-0.00129472310829903,1.47208906960498e-05
"window",100,80,6,50,1,0.0036,70,60,0.70237851736434,1.25546816952765,12,"oracle_local",0.00254205818544834,-0.0231019093621316,0.000657613071581335
"window",100,80,6,50,1,0.0036,70,60,0.575119666505127,1.23211357957028,13,"real_pool",0.0515178241386025,0.089399713495059,0.00143503754121481
"window",100,80,6,50,1,0.0036,70,60,0.575119666505127,1.23211357957028,13,"oracle_pool",0.0515178241386025,0.0368226630338982,0.000215947759893214
"window",100,80,6,50,1,0.0036,70,60,0.575119666505127,1.23211357957028,13,"oracle_local",0.0515178241386025,0.0978574669901782,0.00214736249961159
"window",100,80,6,50,1,0.0036,70,60,0.763998349706078,1.28231144711041,14,"real_pool",-0.171996279468547,-0.180641343886823,7.47371387961414e-05
"window",100,80,6,50,1,0.0036,70,60,0.763998349706078,1.28231144711041,14,"oracle_pool",-0.171996279468547,-0.176616002421349,2.13418401606446e-05
"window",100,80,6,50,1,0.0036,70,60,0.763998349706078,1.28231144711041,14,"oracle_local",-0.171996279468547,-0.187041539313581,0.000226359843804581
"window",100,80,6,50,1,0.0036,70,60,0.706158449930947,1.23336559495448,15,"real_pool",0.311015519095923,0.300290444144041,0.000115027232723499
"window",100,80,6,50,1,0.0036,70,60,0.706158449930947,1.23336559495448,15,"oracle_pool",0.311015519095923,0.311767006175899,5.64732831369802e-07
"window",100,80,6,50,1,0.0036,70,60,0.706158449930947,1.23336559495448,15,"oracle_local",0.311015519095923,0.287774690760081,0.000540136101736087
"window",100,80,6,50,1,0.0036,70,60,0.699418833559383,1.25092021740625,16,"real_pool",0.0254403221417241,0.0171348986405877,6.89800595332277e-05
"window",100,80,6,50,1,0.0036,70,60,0.699418833559383,1.25092021740625,16,"oracle_pool",0.0254403221417241,0.0367893258215947,0.000128799884525718
"window",100,80,6,50,1,0.0036,70,60,0.699418833559383,1.25092021740625,16,"oracle_local",0.0254403221417241,0.000303121052740336,0.000631878878588005
"window",100,80,6,50,1,0.0036,70,60,0.669204711640767,1.27179805794547,17,"real_pool",0.0161734767554244,0.0219816379859562,3.37347368798526e-05
"window",100,80,6,50,1,0.0036,70,60,0.669204711640767,1.27179805794547,17,"oracle_pool",0.0161734767554244,0.00659772231145072,9.16950731712822e-05
"window",100,80,6,50,1,0.0036,70,60,0.669204711640767,1.27179805794547,17,"oracle_local",0.0161734767554244,0.03140544819635,0.000232012953977173
"window",100,80,6,50,1,0.0036,70,60,0.587888916991945,1.22006852350117,18,"real_pool",-0.0525843943549151,-0.0440016662600571,7.36632215502641e-05
"window",100,80,6,50,1,0.0036,70,60,0.587888916991945,1.22006852350117,18,"oracle_pool",-0.0525843943549151,-0.0679783161695856,0.000236972828836188
"window",100,80,6,50,1,0.0036,70,60,0.587888916991945,1.22006852350117,18,"oracle_local",-0.0525843943549151,-0.0389757942016458,0.00018519399813156
"window",100,80,6,50,1,0.0036,70,60,0.66303148293766,1.19127268011546,19,"real_pool",-0.067993667008627,-0.0920558423225025,0.000578988280835678
"window",100,80,6,50,1,0.0036,70,60,0.66303148293766,1.19127268011546,19,"oracle_pool",-0.067993667008627,-0.0738483490212508,3.42773014689401e-05
"window",100,80,6,50,1,0.0036,70,60,0.66303148293766,1.19127268011546,19,"oracle_local",-0.067993667008627,-0.0922351210341755,0.000587648093272779
"window",100,80,6,50,1,0.0036,70,60,0.651931686534234,1.19014760087272,20,"real_pool",0.0709448819049386,0.103496722455415,0.00105962232322365
"window",100,80,6,50,1,0.0036,70,60,0.651931686534234,1.19014760087272,20,"oracle_pool",0.0709448819049386,0.0806935402031964,9.50363386161896e-05
"window",100,80,6,50,1,0.0036,70,60,0.651931686534234,1.19014760087272,20,"oracle_local",0.0709448819049386,0.090362771340873,0.00037705443014617
"window",100,80,6,150,1,0.0036,70,60,0.788474771719438,1.23561988714508,1,"real_pool",-0.304356895560147,-0.311813845671678,5.56061049658634e-05
"window",100,80,6,150,1,0.0036,70,60,0.788474771719438,1.23561988714508,1,"oracle_pool",-0.304356895560147,-0.312419250417678,6.50015658487615e-05
"window",100,80,6,150,1,0.0036,70,60,0.788474771719438,1.23561988714508,1,"oracle_local",-0.304356895560147,-0.297498266056536,4.70407986677993e-05
"window",100,80,6,150,1,0.0036,70,60,0.675441734927251,1.23982449263916,2,"real_pool",-0.249157580563069,-0.170967455214469,0.00611369570202968
"window",100,80,6,150,1,0.0036,70,60,0.675441734927251,1.23982449263916,2,"oracle_pool",-0.249157580563069,-0.253525161018162,1.90757590317138e-05
"window",100,80,6,150,1,0.0036,70,60,0.675441734927251,1.23982449263916,2,"oracle_local",-0.249157580563069,-0.170407006672783,0.00620165288804933
