"scenario","N","T","r","K","SNR_target","method","MSE","SD","SE","CI95","n"
"window",100,80,6,50,1,"oracle_local",2.87628124248976e-05,5.55681288563249e-05,2.4850822701042e-06,4.87076124940424e-06,500
"window",100,80,6,150,1,"oracle_local",2.41530950472285e-05,4.41768759991358e-05,1.97564995535293e-06,3.87227391249175e-06,500
"window",100,80,6,300,1,"oracle_local",2.6947324262813e-05,4.89833970121181e-05,2.19060410975912e-06,4.29358405512788e-06,500
"window",100,80,6,500,1,"oracle_local",2.36931441110524e-05,4.09226755728054e-05,1.83011768803926e-06,3.58703066855695e-06,500
"window",100,80,6,1000,1,"oracle_local",2.75061164490078e-05,7.50173674264258e-05,3.35487866117133e-06,6.57556217589581e-06,500
"window",100,80,6,50,100,"oracle_local",0.00248636137944901,0.00512499705453437,0.000229196835968501,0.000449225798498262,500
"window",100,80,6,150,100,"oracle_local",0.00272771965654028,0.00527042183286096,0.000235700429767523,0.000461972842344345,500
"window",100,80,6,300,100,"oracle_local",0.00274678689146174,0.00578323878186696,0.000258634300927352,0.00050692322981761,500
"window",100,80,6,500,100,"oracle_local",0.00237248724844641,0.00386146195409444,0.000172689828437687,0.000338472063737866,500
"window",100,80,6,1000,100,"oracle_local",0.00255378595627318,0.00503172331410281,0.000225025507486088,0.000441049994672733,500
"window",100,80,6,50,10000,"oracle_local",0.235611465159649,0.512673170560983,0.022927441192294,0.0449377847368963,500
"window",100,80,6,150,10000,"oracle_local",0.268357723758662,0.511508974497703,0.0228753767615614,0.0448357384526604,500
"window",100,80,6,300,10000,"oracle_local",0.250595117098764,0.419817764357769,0.0187748211853192,0.0367986495232256,500
"window",100,80,6,500,10000,"oracle_local",0.23073472696267,0.385308441268331,0.0172315173396095,0.0337737739856345,500
"window",100,80,6,1000,10000,"oracle_local",0.248565285835377,0.492958455550355,0.0220457723338781,0.043209713774401,500
"window",100,80,6,50,1,"real_pool",4.25272076652131e-05,7.54774574040172e-05,3.37545451048454e-06,6.61589084054971e-06,500
"window",100,80,6,150,1,"real_pool",2.97691897271764e-05,5.11803652737313e-05,2.28885551730666e-06,4.48615681392105e-06,500
"window",100,80,6,300,1,"real_pool",3.04034552728249e-05,5.84785551057318e-05,2.61524048884767e-06,5.12587135814144e-06,500
"window",100,80,6,500,1,"real_pool",2.62581354647319e-05,4.53322996956776e-05,2.02732207391856e-06,3.97355126488039e-06,500
"window",100,80,6,1000,1,"real_pool",2.82815050908595e-05,7.59260852104606e-05,3.39551775592063e-06,6.65521480160443e-06,500
"window",100,80,6,50,100,"real_pool",0.00460825860943426,0.00802686282240659,0.000358972218339339,0.000703585547945105,500
"window",100,80,6,150,100,"real_pool",0.00408802576150082,0.00778672345268792,0.000348232859244041,0.00068253640411832,500
"window",100,80,6,300,100,"real_pool",0.00422383208175594,0.00699330811567447,0.000312750246684982,0.000612990483502564,500
"window",100,80,6,500,100,"real_pool",0.00382951263515463,0.00585098979391853,0.000261664218297186,0.000512861867862486,500
"window",100,80,6,1000,100,"real_pool",0.00318351548913423,0.00568287569257041,0.000254145927125372,0.00049812601716573,500
"window",100,80,6,50,10000,"real_pool",0.399405999715437,0.838573469653625,0.0375021456454672,0.0735042054651158,500
"window",100,80,6,150,10000,"real_pool",0.326063314132926,0.767109803819531,0.03430619335094,0.0672401389678424,500
"window",100,80,6,300,10000,"real_pool",0.311813477964596,0.641864500901581,0.0287050531271982,0.0562619041293085,500
"window",100,80,6,500,10000,"real_pool",0.213741630936202,0.445053872364016,0.0199034142451091,0.0390106919204138,500
"window",100,80,6,1000,10000,"real_pool",0.317893407433997,0.7576509704619,0.0338831814634299,0.0664110356683226,500
