"scenario","N","T","r","K","x_val","SNR_target","method","MSE","SD","SE","n"
"fixed_x_window",200,200,6,100,79,1,"oracle_local",2.13836362465046e-06,4.54584733070451e-06,1.01648236467913e-06,20
"fixed_x_window",200,200,6,100,89,1,"oracle_local",3.6226075071549e-06,5.52472136053109e-06,1.23536525188926e-06,20
"fixed_x_window",200,200,6,100,99,1,"oracle_local",4.40464169754291e-06,7.23356002573428e-06,1.6174731936867e-06,20
"fixed_x_window",200,200,6,100,109,1,"oracle_local",3.38253145697894e-06,5.76256458258305e-06,1.28854861313884e-06,20
"fixed_x_window",200,200,6,100,119,1,"oracle_local",1.26103919680426e-06,1.41776808402369e-06,3.1702258122066e-07,20
"fixed_x_window",200,200,6,100,129,1,"oracle_local",4.5711182310572e-06,9.08894339315834e-06,2.03234952707496e-06,20
"fixed_x_window",200,200,6,100,139,1,"oracle_local",2.89285552395125e-06,7.38940862483635e-06,1.65232199986573e-06,20
"fixed_x_window",200,200,6,100,149,1,"oracle_local",1.6536434100199e-06,3.41957621630625e-06,7.64640487390229e-07,20
"fixed_x_window",200,200,6,100,159,1,"oracle_local",3.44768292565215e-06,5.44201591966346e-06,1.21687175310035e-06,20
"fixed_x_window",200,200,6,100,169,1,"oracle_local",2.445418496586e-06,4.53931691596443e-06,1.01502211955112e-06,20
"fixed_x_window",200,200,6,100,179,1,"oracle_local",8.0894861248867e-07,1.72947738015695e-06,3.86722898757919e-07,20
"fixed_x_window",200,200,6,100,189,1,"oracle_local",2.42193982347773e-06,3.70541069221623e-06,8.28555019235004e-07,20
"fixed_x_window",200,200,6,100,199,1,"oracle_local",1.09718917212357e-06,1.4793711316296e-06,3.30797441427458e-07,20
"fixed_x_window",200,200,6,100,79,1000,"oracle_local",0.00466329789713364,0.00619018087722992,0.00138416652345054,20
"fixed_x_window",200,200,6,100,89,1000,"oracle_local",0.00321836173433876,0.00457198535142687,0.00102232700379237,20
