"scenario","N","T","r","K","SNR_target","method","MSE","SD","n"
"window",100,80,6,50,1,"oracle_local",0.00116791063578295,0.00138487205113339,20
"window",100,80,6,150,1,"oracle_local",0.00242601475675316,0.00300313125245578,20
"window",100,80,6,300,1,"oracle_local",0.00133846890308516,0.00161605063345797,20
"window",100,80,6,500,1,"oracle_local",0.00217714647939179,0.00238976552334907,20
"window",100,80,6,1000,1,"oracle_local",0.00133108768350904,0.0016614584433555,20
"window",100,80,6,50,1,"oracle_pool",8.61152813404438e-05,9.96795997962712e-05,20
"window",100,80,6,150,1,"oracle_pool",2.24916494093512e-05,2.31340989495642e-05,20
"window",100,80,6,300,1,"oracle_pool",1.06021126139313e-05,1.36439666605241e-05,20
"window",100,80,6,500,1,"oracle_pool",1.37710128174697e-05,1.73526115665799e-05,20
"window",100,80,6,1000,1,"oracle_pool",3.32728311564043e-06,3.62071193153539e-06,20
"window",100,80,6,50,1,"real_pool",0.000712313774219937,0.00100019320613195,20
"window",100,80,6,150,1,"real_pool",0.00247146776807027,0.00301400832686808,20
"window",100,80,6,300,1,"real_pool",0.00149060071999029,0.00198881251333386,20
"window",100,80,6,500,1,"real_pool",0.00222468364378777,0.00246656989250236,20
"window",100,80,6,1000,1,"real_pool",0.00134178234086452,0.00166193321947873,20
