"scenario","N","T","r","K","SNR_target","method","MSE","SD","SE","CI95","n"
"window",100,80,6,50,1,"oracle_local",2.87628124248976e-05,5.55681288563249e-05,2.4850822701042e-06,4.87076124940424e-06,500
"window",100,80,6,150,1,"oracle_local",2.41530950472285e-05,4.41768759991358e-05,1.97564995535293e-06,3.87227391249175e-06,500
"window",100,80,6,300,1,"oracle_local",2.6947324262813e-05,4.89833970121181e-05,2.19060410975912e-06,4.29358405512788e-06,500
"window",100,80,6,500,1,"oracle_local",2.36931441110524e-05,4.09226755728054e-05,1.83011768803926e-06,3.58703066855695e-06,500
"window",100,80,6,1000,1,"oracle_local",2.75061164490078e-05,7.50173674264258e-05,3.35487866117133e-06,6.57556217589581e-06,500
"window",100,80,6,50,1,"oracle_pool",1.45959246780389e-05,2.29652566709652e-05,1.02703750074018e-06,2.01299350145074e-06,500
"window",100,80,6,150,1,"oracle_pool",4.60074571848985e-06,6.98008179302235e-06,3.12158747554132e-07,6.11831145206098e-07,500
"window",100,80,6,300,1,"oracle_pool",2.27848810092859e-06,3.80846859810891e-06,1.70319893510897e-07,3.33826991281358e-07,500
"window",100,80,6,500,1,"oracle_pool",1.53352093502954e-06,2.57401246776805e-06,1.15113337057227e-07,2.25622140632165e-07,500
"window",100,80,6,1000,1,"oracle_pool",6.65232138289745e-07,1.14929665722084e-06,5.13981090371816e-08,1.00740293712876e-07,500
"window",100,80,6,50,1,"real_pool",4.25272076652131e-05,7.54774574040172e-05,3.37545451048454e-06,6.61589084054971e-06,500
"window",100,80,6,150,1,"real_pool",2.97691897271764e-05,5.11803652737313e-05,2.28885551730666e-06,4.48615681392105e-06,500
"window",100,80,6,300,1,"real_pool",3.04034552728249e-05,5.84785551057318e-05,2.61524048884767e-06,5.12587135814144e-06,500
"window",100,80,6,500,1,"real_pool",2.62581354647319e-05,4.53322996956776e-05,2.02732207391856e-06,3.97355126488039e-06,500
"window",100,80,6,1000,1,"real_pool",2.82815050908595e-05,7.59260852104606e-05,3.39551775592063e-06,6.65521480160443e-06,500
