"scenario","N","T","r_true","r_est","rank_misspec_add","K","SNR_target","sigma2","N1k","T1k","N2k","T2k","c_ell","c_u","rep","method","xy_type","mu_true","mu_hat","sq_err"
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,11,5,1,1,0.0036,66,49,34,31,0.596125842725858,1.37591862481226,1,"real_pool_misspec","leading_eigenvectors_U2V2",-0.44483828271494,-0.366464209293615,0.00614249538465119
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,11,5,1,1,0.0036,66,49,34,31,0.596125842725858,1.37591862481226,1,"real_nopool_misspec","leading_eigenvectors_U2V2",-0.44483828271494,-0.366464209293615,0.00614249538465119
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,NA,5,1,1,0.0036,66,49,34,31,0.596125842725858,1.37591862481226,1,"oracle_pool","leading_eigenvectors_U2V2",-0.44483828271494,-0.593488396102194,0.0220968562100433
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,NA,5,1,1,0.0036,66,49,34,31,0.596125842725858,1.37591862481226,1,"oracle_nopool","leading_eigenvectors_U2V2",-0.44483828271494,-0.593488396102194,0.0220968562100433
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,NA,5,1,1,0.0036,66,49,34,31,0.596125842725858,1.37591862481226,1,"oracle_local","leading_eigenvectors_U2V2",-0.44483828271494,-0.429188837276891,0.000244905142518463
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,11,5,1,1,0.0036,64,48,36,32,0.698265451488766,1.35509170467188,2,"real_pool_misspec","leading_eigenvectors_U2V2",-0.0103981039204288,-0.134602336389579,0.0154266913632506
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,11,5,1,1,0.0036,64,48,36,32,0.698265451488766,1.35509170467188,2,"real_nopool_misspec","leading_eigenvectors_U2V2",-0.0103981039204288,-0.134602336389579,0.0154266913632506
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,NA,5,1,1,0.0036,64,48,36,32,0.698265451488766,1.35509170467188,2,"oracle_pool","leading_eigenvectors_U2V2",-0.0103981039204288,-0.017260829526285,4.70970027412739e-05
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,NA,5,1,1,0.0036,64,48,36,32,0.698265451488766,1.35509170467188,2,"oracle_nopool","leading_eigenvectors_U2V2",-0.0103981039204288,-0.017260829526285,4.70970027412739e-05
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,NA,5,1,1,0.0036,64,48,36,32,0.698265451488766,1.35509170467188,2,"oracle_local","leading_eigenvectors_U2V2",-0.0103981039204288,-0.0197493569979942,8.74459341206757e-05
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,11,5,1,1,0.0036,56,44,44,36,0.70922347662996,1.46560282394628,3,"real_pool_misspec","leading_eigenvectors_U2V2",-0.136135889857297,-0.0703366423119187,0.00432954097753799
