"scenario","N","T","r","K","SNR_target","method","MSE","SD","SE","CI95","n"
"window",100,80,6,1,1,"oracle_local",2.84371435145443e-05,5.92035457914149e-05,2.64766305797251e-06,5.18941959362611e-06,500
"window",100,80,6,2,1,"oracle_local",2.65071974899266e-05,4.9370524289796e-05,2.20791696793577e-06,4.32751725715411e-06,500
"window",100,80,6,5,1,"oracle_local",2.57240832933323e-05,5.58816910562742e-05,2.49910519798942e-06,4.89824618805927e-06,500
"window",100,80,6,10,1,"oracle_local",2.19828017562568e-05,4.13499624406413e-05,1.84922653768674e-06,3.62448401386602e-06,500
"window",100,80,6,20,1,"oracle_local",2.84102894780153e-05,6.07284975776655e-05,2.71586097510183e-06,5.32308751119958e-06,500
"window",100,80,6,50,1,"oracle_local",2.87628124248976e-05,5.55681288563249e-05,2.4850822701042e-06,4.87076124940424e-06,500
"window",100,80,6,200,1,"oracle_local",2.53064788345963e-05,4.8521745838948e-05,2.16995844165711e-06,4.25311854564793e-06,500
"window",100,80,6,1,1,"oracle_nopool",0.000774170611021683,0.00118535638995246,5.30107493099489e-05,0.0001039010686475,500
"window",100,80,6,2,1,"oracle_nopool",0.00082055218680879,0.00133427754113784,5.96707056567095e-05,0.000116954583087151,500
"window",100,80,6,5,1,"oracle_nopool",0.000741479735488764,0.00119753990066911,5.35556124732894e-05,0.000104969000447647,500
"window",100,80,6,10,1,"oracle_nopool",0.000709927447859724,0.00113817442081227,5.09007075037536e-05,9.9765386707357e-05,500
"window",100,80,6,20,1,"oracle_nopool",0.000809304880749076,0.00130925569104622,5.8551694502156e-05,0.000114761321224226,500
"window",100,80,6,50,1,"oracle_nopool",0.000733953576622047,0.00106772096874643,4.77499333423788e-05,9.35898693510625e-05,500
"window",100,80,6,200,1,"oracle_nopool",0.000674315840509311,0.000991980331556741,4.43627090740731e-05,8.69509097851832e-05,500
"window",100,80,6,1,1,"oracle_pool",0.000774170611021683,0.00118535638995246,5.30107493099489e-05,0.0001039010686475,500
"window",100,80,6,2,1,"oracle_pool",0.000364837842271762,0.000542404669462999,2.42570742446514e-05,4.75438655195167e-05,500
"window",100,80,6,5,1,"oracle_pool",0.00013905980446488,0.000242367395473256,1.08389994361555e-05,2.12444388948648e-05,500
"window",100,80,6,10,1,"oracle_pool",6.74407968303463e-05,0.000111029962549578,4.96541087600223e-06,9.73220531696436e-06,500
"window",100,80,6,20,1,"oracle_pool",3.41610309677461e-05,5.08587666892765e-05,2.27447319138048e-06,4.45796745510575e-06,500
"window",100,80,6,50,1,"oracle_pool",1.45959246780389e-05,2.29652566709652e-05,1.02703750074018e-06,2.01299350145074e-06,500
"window",100,80,6,200,1,"oracle_pool",3.22519623352714e-06,5.17773256950367e-06,2.31555239894497e-07,4.53848270193215e-07,500
"window",100,80,6,1,1,"real_nopool",0.000866368777003231,0.00140131510824893,6.26687167988415e-05,0.000122830684925729,500
"window",100,80,6,2,1,"real_nopool",0.000915090504773131,0.00147770335364287,6.60849029864972e-05,0.000129526409853535,500
"window",100,80,6,5,1,"real_nopool",0.000837518773057452,0.00119829289587939,5.35892874428281e-05,0.000105035003387943,500
"window",100,80,6,10,1,"real_nopool",0.000791512504638516,0.00109804961916155,4.91062718222594e-05,9.62482927716284e-05,500
"window",100,80,6,20,1,"real_nopool",0.000871235595990048,0.00157192688280859,7.02987073123869e-05,0.000137785466332278,500
"window",100,80,6,50,1,"real_nopool",0.000833486401430797,0.00130253726105816,5.82512371790486e-05,0.000114172424870935,500
"window",100,80,6,200,1,"real_nopool",0.000792452352333139,0.00135453990005157,6.05768658950215e-05,0.000118730657154242,500
"window",100,80,6,1,1,"real_pool",0.000866368777003231,0.00140131510824893,6.26687167988415e-05,0.000122830684925729,500
"window",100,80,6,2,1,"real_pool",0.000453852590096823,0.000702294079244836,3.14075460277415e-05,6.15587902143734e-05,500
"window",100,80,6,5,1,"real_pool",0.000182528938819907,0.000289657994769065,1.29538993305982e-05,2.53896426879724e-05,500
"window",100,80,6,10,1,"real_pool",9.27843160819239e-05,0.000152099431762927,6.80209337521991e-06,1.3332103015431e-05,500
"window",100,80,6,20,1,"real_pool",6.30865570502006e-05,0.000103561235215671,4.6313992355217e-06,9.07754250162252e-06,500
"window",100,80,6,50,1,"real_pool",4.25272076652131e-05,7.54774574040172e-05,3.37545451048454e-06,6.61589084054971e-06,500
"window",100,80,6,200,1,"real_pool",2.79752774500269e-05,5.20375531244938e-05,2.32719012338249e-06,4.56129264182969e-06,500
